PromptID,AnswerText,Score,Annotation (KS),Annotation (MB),Annotation (TZ),Agree_MB_TZ,Agree_MB_KS,Agree_TZ_KS,Num_unique,Gold_annotation
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It will shake and make sound.,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True,1,irrelevant
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would get lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would have a lower pitch because it has less room to vibrate.,contradictory,1.0,1.0,partially_correct_incomplete,False,True,False,2,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,Softer.,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True,1,irrelevant
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be wobbly so it would make a small sound.,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True,1,irrelevant
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would make a higher sound.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be lower pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would not be as high as when you pull it tight.,1.0,partially_correct_incomplete,1.0,1.0,True,False,False,2,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would change to a low pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be a low pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The pitch will be higher.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,A low pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The pitch would get lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The pitch will be low.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It got high.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It will be low the pitch change.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The sound would be lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be lower pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be a longer sound.,irrelevant,irrelevant,partially_correct_incomplete,irrelevant,False,False,True,2,irrelevant
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,Still high.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would sound lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The pitch will go high.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It will make a lower pitch and yes.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The pitch would be low.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be the same.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,Low.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would of got higher because it is a longer string so if she plucked it it still would be high.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be low pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
