id,Prompt,text_clean,Num_unique,Gold_annotation,Copied from Resolved,Label_LLM,Annotation (MB) OLD,Annotation (MB), Annotation (TZ) OLD,Annotation (TZ),Annotation (KS) OLD,Annotation (KS),Agree_MB_TZ,Agree_MB_KS,Agree_TZ_KS
deepseek_VB1_16,VB1,"An analytical approach wherein specific conditions can be controlled and manipulated within clearly defined limits, enabling researchers to isolate particular factors for detailed study without external influences complicating results",2,1.0,,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,1.0,1.0,False,True,False
deepseek_VB1_17,VB1,"An experiment in which at least one variable is manipulated by an investigator to determine its effect on another variable, while keeping all other factors constant to ensure that changes observed are due solely to the manipulation of the independent variable",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_18,VB1,It means you deliberately change one thing and measure its effect while making sure nothing else changes – like when scientists once tested whether plants grow better with heat lamps by keeping all other conditions constant except for warmth,1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_19,VB1,Can this be part of our next science project maybe?,2,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,irrelevant,irrelevant,True,False,False
deepseek_VB1_20,VB1,"Lack of Replication: If an experiment isn't replicated multiple times under the same conditions, it fails to establish reliability and replicability which are crucial in science",2,irrelevant,,contradictory,irrelevant,irrelevant,irrelevant,irrelevant,contradictory,contradictory,True,False,False
deepseek_VB1_21,VB1,"A controlled experiment is where you pick one toy to play with and give up all others for some time; this way, you really get to know the ins and outs of your favorite game",2,irrelevant,,irrelevant,irrelevant,irrelevant,partially_correct_incomplete,partially_correct_incomplete,irrelevant,irrelevant,False,True,False
deepseek_VB1_22,VB1,"In a controlled experiment, we make sure everything stays the same except for what we want to change to test our idea.",1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_23,VB1,A controlled experiment uses a randomized control design to reduce bias and provide evidence for cause-and-effect relationships that can be generalized beyond the specific participants studied,2,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,irrelevant,irrelevant,partially_correct_incomplete,partially_correct_incomplete,False,True,False
deepseek_VB1_24,VB1,An investigative procedure wherein one or more variables are intentionally varied under controlled circumstances so as to permit rigorous examination and analysis of the relationship between these changes (the independent variable) and some observable outcome or behavior (the dependent variable),1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_25,VB1,A controlled experiment is when you observe wild animals in their natural habitat without any interference or control group involved,2,contradictory,,contradictory,contradictory,contradictory,contradictory,contradictory,irrelevant,irrelevant,True,False,False
deepseek_VB1_26,VB1,"In a controlled experiment, only one variable changes while all others are held constant to determine cause and effect relationships.",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_27,VB1,"In a well-designed controlled experiment, participants are randomly assigned into groups that receive different levels of the experimental manipulation (independent variable) in order to reduce potential biases and ensure internal validity",2,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,False,True,False
deepseek_VB1_28,VB1,A controlled experiment is critical for scientific discovery as it allows for the reduction of external factors and focus on direct relationships between variables that may otherwise go unnoticed or misattributed under uncontrolled conditions,1,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,True,True,True
deepseek_VB1_29,VB1,"An experiment where we change something on purpose and see what happens, but make sure nothing else changes at the same time so we can understand why things happen",1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_30,VB1,"A controlled experiment involves isolating one factor to see its impact on a particular outcome, while keeping all other factors constant",2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_31,VB1,What does that mean exactly? Can you give me an example?,1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_32,VB1,"An experiment in which one aspect is intentionally altered (the independent variable) and all others remain consistent, allowing researchers to attribute any resulting changes directly to the manipulated condition without external interference from unrelated factors",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_33,VB1,"An experimental design that involves systematically varying at least one independent variable and observing its effect, maintaining all other conditions constant across different groups being tested or compared so as not to confound results with extraneous factors",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_34,VB1,Insufficient Variability: A study with too little variation between groups does not allow for valid statistical analysis or interpretation of results,2,irrelevant,,contradictory,irrelevant,irrelevant,irrelevant,irrelevant,contradictory,contradictory,True,False,False
deepseek_VB1_35,VB1,Describing the process of peer review in academic journals,2,irrelevant,,irrelevant,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_36,VB1,It's what we do during science fairs where we test different mixtures of baking soda and vinegar to see which one fizzes the most,2,irrelevant,,irrelevant,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_37,VB1,It’s when we do activities in class and sometimes groups have to change because everyone gets a turn at something new!,2,irrelevant,,non_domain,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_38,VB1,The control group in a controlled experiment is kept constant across all test subjects to avoid external influences on the data collection process,2,contradictory,,partially_correct_incomplete,irrelevant,irrelevant,contradictory,contradictory,contradictory,contradictory,False,False,True
deepseek_VB1_39,VB1,"It involves two groups receiving different treatments in order to test their effects, while keeping all other factors constant to prevent interference",2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_40,VB1,"Comparing two groups of subjects, with one group receiving an intervention and another not",1,partially_correct_incomplete,T,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,1.0,partially_correct_incomplete,contradictory,partially_correct_incomplete,True,True,True
deepseek_VB1_41,VB1,Any intervention within a controlled experiment must be fully randomized to ensure its validity as scientifically significant data,2,irrelevant,,contradictory,irrelevant,irrelevant,irrelevant,irrelevant,contradictory,contradictory,True,False,False
deepseek_VB1_42,VB1,The definition of a controlled experiment excludes involving animals or plants since they can't be scientifically quantified like humans and therefore their behavior cannot provide valid results for scientific studies,2,irrelevant,,contradictory,contradictory,contradictory,irrelevant,irrelevant,irrelevant,irrelevant,False,False,True
deepseek_VB1_43,VB1,A controlled experiment is when you set up your science project so there's just one thing that might affect the outcome.,2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_44,VB1,"Observational Study: A controlled experiment involves direct observation, while this suggests a purely observational study where participants are not manipulated or controlled by the researcher",2,contradictory,,contradictory,contradictory,contradictory,irrelevant,irrelevant,contradictory,contradictory,False,True,False
deepseek_VB1_45,VB1,This type of study ensures that any changes observed in the dependent variable can be attributed solely to the manipulation of the independent variable without external influences,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_46,VB1,An experiment where only one variable is changed to see its effect on a particular outcome,1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_47,VB1,It's like cooking where you only add salt and nothing else changes in the recipe to see how it affects taste.,2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,irrelevant,irrelevant,True,False,False
deepseek_VB1_48,VB1,Is that something we have to remember for a test?,1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_49,VB1,A controlled experiment is playing with toy cars in the sandbox—you can control how it goes and adjust as needed.,2,irrelevant,,non_domain,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_50,VB1,A controlled experiment is characterized by its design wherein an independent variable (cause) is purposely altered with the aim of determining whether there is any change in the dependent variable (effect),2,1.0,,1.0,partially_correct_incomplete,partially_correct_incomplete,1.0,1.0,1.0,1.0,False,False,True
deepseek_VB1_51,VB1,"In a controlled experiment, everything except the variable we change stays the same for comparison.",1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_52,VB1,"In language arts, it means sticking strictly to reading classic literature rather than exploring newer books that might be more engaging",1,irrelevant,,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True
deepseek_VB1_53,VB1,A controlled experiment is when you have a hypothesis and then set up an environment where that hypothesis can be tested. It's like setting up your own little science fair project!,1,partially_correct_incomplete,,irrelevant,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,True,True,True
deepseek_VB1_54,VB1,"It's not about experiments in the art room where we paint self-portraits, but something entirely different",2,irrelevant,,irrelevant,non_domain,non_domain,irrelevant,irrelevant,irrelevant,irrelevant,False,False,True
deepseek_VB1_55,VB1,"In a true experiment, participants are randomly assigned to different groups for treatment, but it's not necessary for success; some experiments can succeed with just careful observation and no intervention at all",1,contradictory,,contradictory,contradictory,contradictory,contradictory,contradictory,contradictory,contradictory,True,True,True
deepseek_VB1_56,VB1,"Personal Opinion without Evidence: A definition should be based on academic criteria rather than personal beliefs or opinions, which is more aligned with evidence-based practice",2,irrelevant,,contradictory,irrelevant,irrelevant,irrelevant,irrelevant,contradictory,contradictory,True,False,False
deepseek_VB1_57,VB1,Is it about making everything predictable and measured for testing?,2,contradictory,,non_domain,irrelevant,irrelevant,contradictory,contradictory,contradictory,contradictory,False,False,True
deepseek_VB1_58,VB1,It's like building blocks; each step adds to the bigger picture we want to achieve.,2,non_domain,T,non_domain,irrelevant,non_domain,contradictory,non_domain,non_domain,partially_correct_incomplete,True,False,False
deepseek_VB1_59,VB1,How do you define something like that in regular life?,1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_60,VB1,"In a well-designed controlled experiment, participants must be tested more than once to measure changes or effects over time",1,contradictory,,partially_correct_incomplete,contradictory,contradictory,contradictory,contradictory,contradictory,contradictory,True,True,True
deepseek_VB1_61,VB1,Is there a fun project we could make based on these ideas?,1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_62,VB1,"A standard feature of controlled experiments is their ability to control for confounding factors which might otherwise bias or influence outcomes, allowing for clear causation evidence if significant effects occur as predicted",1,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,True,True,True
deepseek_VB1_63,VB1,"In a controlled experiment, there are specific rules about what can be different or altered in order to get accurate results.",2,partially_correct_incomplete,,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,irrelevant,irrelevant,True,False,False
deepseek_VB1_64,VB1,"A well-designed uncontrolled study is the same thing as a controlled experiment because both involve setting parameters to ensure accurate outcome measurement, even if one does not actively manipulate variables directly in an experiment",1,contradictory,,contradictory,contradictory,contradictory,contradictory,contradictory,contradictory,contradictory,True,True,True
deepseek_VB1_65,VB1,"No Blind Procedure: If participants know which group they belong to in an experiment (knowing as), the control aspect is compromised because bias can influence their responses based on expectations about treatment",1,partially_correct_incomplete,F,contradictory,irrelevant,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,contradictory,partially_correct_incomplete,True,True,True
deepseek_VB1_66,VB1,"I'm not really sure, can you explain what it is?",1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_67,VB1,"Do other classes talk about this too, or is it just ours?",1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_68,VB1,"A controlled experiment means comparing the outcome of two sets of data where one set is manipulated by you in any way possible, which isn’t always true as sometimes variables are uncontrollable",1,contradictory,,contradictory,contradictory,contradictory,contradictory,contradictory,contradictory,contradictory,True,True,True
deepseek_VB1_69,VB1,"I heard of experiments, but not sure what you're asking",1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_70,VB1,What does our teacher say about what they mean by this term?,1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_71,VB1,"Ineffective Use of Controls: An experiment where control groups are not effectively isolated from experimental manipulations might lead to confounding results, making it hard to attribute any changes observed strictly to the treatment group",2,partially_correct_incomplete,,contradictory,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,contradictory,contradictory,True,False,False
deepseek_VB1_72,VB1,A controlled experiment is when you test a hypothesis with one variable changed and keep all other variables constant.,1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_73,VB1,"A controlled experiment is a scientific method where one variable (the ""independent variable"") is manipulated, while all other variables are held constant to observe their effects on another variable (the ""dependent variable"")",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_74,VB1,A controlled experiment is like cooking: you change one ingredient (the independent variable) and measure what happens when it's cooked differently from the rest of your recipe,1,partially_correct_incomplete,F,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,1.0,partially_correct_incomplete,irrelevant,partially_correct_incomplete,True,True,True
deepseek_VB1_75,VB1,A controlled experiment involves two groups—one group receives the intervention while another does not—to compare outcomes,1,partially_correct_incomplete,,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,True,True,True
deepseek_VB1_76,VB1,A scientific study where only one factor changes while everything else remains consistent between different groups,2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_77,VB1,Comparing scientific theories and models,2,irrelevant,,irrelevant,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_78,VB1,When you change a single thing and see what happens; like when we tested how sunlight affects plant growth by giving some plants more light than others,2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_79,VB1,Why are we talking about controlled experiments today?,1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_80,VB1,Isn't that something scientists use for studying stuff?,2,irrelevant,,non_domain,irrelevant,irrelevant,non_domain,non_domain,irrelevant,irrelevant,False,True,False
deepseek_VB1_81,VB1,A controlled experiment involves solving crossword puzzles but only with clues provided in the puzzle itself and no outside assistance,3,irrelevant,F,irrelevant,irrelevant,irrelevant,contradictory,contradictory,non_domain,non_domain,False,False,False
deepseek_VB1_82,VB1,"It’s when we make rules for a short period of time and see how it works out in class, sort of like trying out new strategies sometimes!",2,non_domain,F,non_domain,irrelevant,non_domain,contradictory,irrelevant,non_domain,non_domain,False,True,False
deepseek_VB1_83,VB1,Overly Complex Design: An overly complex experimental design can obscure key variables and make results difficult to interpret effectively for non-experts,1,irrelevant,T,contradictory,irrelevant,irrelevant,partially_correct_incomplete,irrelevant,contradictory,irrelevant,True,True,True
deepseek_VB1_84,VB1,I think it's about dividing your classroom into sections with dividers so each student has their own personal space for learning without distractions from others around them,2,contradictory,,irrelevant,contradictory,contradictory,contradictory,contradictory,irrelevant,irrelevant,True,False,False
deepseek_VB1_85,VB1,"A controlled scientific study where there's an explicit intervention by the experimenter intended to alter specific conditions (the manipulated factor), resulting in a situation that allows for careful measurement of any effects on another variable, while preventing external influences from obscuring cause and effect relationships being tested",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_86,VB1,An experiment where everything except for the manipulated variable is kept constant across both groups  comparing two sets of subjects or variables without any external influences interfering,1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_87,VB1,"Non-Standardized Conditions: If the conditions across different groups within the same experimental setup vary significantly or aren’t standardized (e.g., varying time of day), this can undermine efforts towards understanding cause and effect accurately",2,partially_correct_incomplete,F,contradictory,irrelevant,partially_correct_incomplete,partially_correct_incomplete,irrelevant,contradictory,partially_correct_incomplete,False,True,False
deepseek_VB1_88,VB1,"In a controlled experiment, scientists isolate and test specific factors by randomly assigning participants or controlling environmental conditions",1,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,True,True,True
deepseek_VB1_89,VB1,This type of experiment is particularly useful in eliminating alternative explanations; it helps establish causality between variables through consistent conditions across groups.,1,partially_correct_incomplete,F,1.0,partially_correct_incomplete,partially_correct_incomplete,irrelevant,partially_correct_incomplete,1.0,partially_correct_incomplete,True,True,True
deepseek_VB1_90,VB1,I would say a controlled experiment is trying out new things on a small scale before making big decisions about them.,2,contradictory,,non_domain,contradictory,contradictory,contradictory,contradictory,irrelevant,irrelevant,True,False,False
deepseek_VB1_91,VB1,"Lack of Specific Variables Manipulated: When an experiment does not specify which specific variable(s) are manipulated, it lacks clarity about how changes in one factor might affect outcomes and thus fails to meet basic criteria for a controlled study",2,partially_correct_incomplete,,contradictory,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,contradictory,contradictory,True,False,False
deepseek_VB1_92,VB1,"The experiment includes only one variable that is being changed by an individual, often a scientist",2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_93,VB1,"Controlled experiments are conducted under protocols that minimize external influences on the outcome, providing clean data for hypothesis testing in rigorous studies.",1,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,True,True,True
deepseek_VB1_94,VB1,"It's like when we have to follow playground rules, right?",2,non_domain,F,non_domain,irrelevant,non_domain,contradictory,contradictory,non_domain,non_domain,False,True,False
deepseek_VB1_95,VB1,A controlled experiment uses random assignment to ensure fairness by distributing subjects into different conditions based on chance,1,partially_correct_incomplete,F,1.0,irrelevant,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,contradictory,partially_correct_incomplete,True,True,True
deepseek_VB1_96,VB1,"Uncontrolled Trial: A controlled experiment is designed to minimize extraneous variables that might influence the outcome, unlike an uncontrolled trial where all conditions are left unmanaged",2,partially_correct_incomplete,,contradictory,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,contradictory,contradictory,True,False,False
deepseek_VB1_97,VB1,Control groups in experiments allow researchers to compare the outcomes from experimental manipulations against those that have not been manipulated,2,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,irrelevant,irrelevant,True,False,False
deepseek_VB1_98,VB1,"A controlled trial where specific conditions can be manipulated by scientists with the intent of observing their impact on another variable, but only when these experiments are set up so that other variables likely to affect results are kept equal or constant across all experimental groups",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_99,VB1,Providing examples of natural phenomena,2,irrelevant,,irrelevant,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_100,VB1,It's like testing if different types of soil can grow plants by changing only the dirt and not anything else in the area.,2,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_101,VB1,A controlled experiment is like playing with one toy while keeping all others in the box and seeing if this changes anything interesting.,2,irrelevant,,partially_correct_incomplete,irrelevant,irrelevant,partially_correct_incomplete,partially_correct_incomplete,irrelevant,irrelevant,False,True,False
deepseek_VB1_102,VB1,A controlled experiment involves a large number of variables being systematically measured under various conditions in order to achieve precise outcomes. But sometimes focusing too much on one variable might lead you down an incorrect path and away from the bigger picture that could have been discovered otherwise,2,contradictory,,contradictory,partially_correct_incomplete,partially_correct_incomplete,contradictory,contradictory,contradictory,contradictory,False,False,True
deepseek_VB1_103,VB1,"Lack of Control Variation: In experiments where all conditions are allowed maximum variation and no restrictions, it becomes impossible to isolate specific factors for analysis due to confounding variables",1,partially_correct_incomplete,T,contradictory,irrelevant,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,contradictory,partially_correct_incomplete,True,True,True
deepseek_VB1_104,VB1,Historical Control Group: This term refers to using historical data or another group for comparison instead of having a control and experimental group in real time,2,irrelevant,,contradictory,irrelevant,irrelevant,irrelevant,irrelevant,contradictory,contradictory,True,False,False
deepseek_VB1_105,VB1,Does anyone else know the answer to that question?,1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_106,VB1,"In my opinion, a controlled experiment means testing things safely first before going big.",2,contradictory,,non_domain,contradictory,contradictory,contradictory,contradictory,irrelevant,irrelevant,True,False,False
deepseek_VB1_107,VB1,It's like baking cookies; first we measure the ingredients carefully to get just the right taste!,2,irrelevant,,non_domain,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_108,VB1,"I'm not sure what it is, can you explain?",1,non_domain,,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,non_domain,True,True,True
deepseek_VB1_109,VB1,"It's similar to playing musical chairs but instead of finding seats you find your favorite type of candy or toy left unopened after an experiment. What remains for grabs is up to chance - sorta like a treasure hunt, really!",1,irrelevant,,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True
deepseek_VB1_110,VB1,"It's about making little changes in how you do things, like trying a new pen or sitting at a different spot while studying, just enough so we can see if it helps us remember better!",2,irrelevant,F,irrelevant,partially_correct_incomplete,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_111,VB1,"An experiment in which only one variable is changed systematically to see how it affects an outcome, while all other variables are kept constant, can be defined as a controlled experiment",1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_112,VB1,"In a controlled experiment, we make an intentional change in something (like lighting or food type), but keep everything else exactly the same to see how that change affects whatever we’re studying",1,1.0,,partially_correct_incomplete,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_113,VB1,"By controlling extraneous variables, researchers in a controlled experiment aim to increase internal validity – the extent to which their findings can be trusted within the specific context of the experimental design",2,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,1.0,1.0,True,False,False
deepseek_VB1_114,VB1,Results of a controlled experiment can be replicated and validated through repetition under similar conditions,1,irrelevant,,1.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True
deepseek_VB1_115,VB1,"A controlled experiment is when we have a list on the board with words written in different colors, asking students to write down their choice without looking at anyone else’s so no copying happens!",2,irrelevant,,irrelevant,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
deepseek_VB1_116,VB1,The purpose of a controlled experiment is to establish causality by showing that changes in one factor (the manipulated variable) result in predictable effects on another factor (the outcome or dependent variable),1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_117,VB1,Analyzing data from non-experimental sources,2,contradictory,,irrelevant,contradictory,contradictory,contradictory,contradictory,irrelevant,irrelevant,True,False,False
